ID,RA,DEC,TYPE,FLUX_m400,FLUX_m425,FLUX_m450,FLUX_m475,FLUX_m500,FLUX_m525,FLUX_m550,FLUX_m575,FLUX_m600,FLUX_m625,FLUX_m650,FLUX_m675,FLUX_m700,FLUX_m725,FLUX_m800,FLUX_m825,FLUX_m850,FLUX_m875,ELL,Re,THETA
00101,311.32456076,-1.4909407269,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8674999999999997,-30.310288274277102
00102,311.12349182,-1.8619071209,STAR,,,,,,,,,,,,,,,,,,,0.0,2.848,-4.662628208756677
00103,310.9695685,-1.913498399,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9325,-23.160679613941195
00104,310.6578956,-1.3727347561,STAR,,,,,,,,,,,,,,,,,,,0.0,3.112,-14.2411259188486
00105,311.07865495,-1.9576569282,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9539999999999997,19.61870236686296
00106,310.68090189,-1.4625374596,STAR,,,,,,,,,,,,,,,,,,,0.0,3.076,-13.12726434118391
00107,311.40946118,-2.0519618135,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9855,-17.604742895928712
00108,311.52751767,-2.0530899602,STAR,,,,,,,,,,,,,,,,,,,0.0,3.077,-58.303810269955065
00109,310.73831616,-2.0380874141,STAR,,,,,,,,,,,,,,,,,,,0.0,3.17,14.362835583085971
00110,310.83111438,-2.1150746547,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1420000000000003,9.524422830583907
00111,310.88954626,-2.0350016208,STAR,,,,,,,,,,,,,,,,,,,0.0,3.2135,0.3379052951322821
00112,311.22604049,-2.1052417796,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0185,-6.565478012917209
00113,310.70241004,-2.004418107,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1465,1.65873030535128
00114,311.56734586,-2.077210886,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1319999999999997,-53.58360985695145
00115,311.3120535,-1.4065058657,STAR,,,,,,,,,,,,,,,,,,,0.0,2.934,-21.86287051673285
00116,311.28117259,-1.4023132309,STAR,,,,,,,,,,,,,,,,,,,0.0,2.848,-24.399761813371118
00117,310.99794748,-1.4299226041,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8295,-11.160325305730494
00118,311.53395078,-2.0389644776,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0885,-47.624188844645815
