RAJ2000,DEJ2000,objID,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
189.492295300,27.360220640,140831894922662867,444915712,53,0.0080,0.0069,56046.958738430,5,70,21.5076,0.0570,21.3255,0.0599,115000,20.2022,0.0219,19.7761,0.0162,16892216,19.4019,0.0386,19.1221,0.0136,16892216,19.2444,0.0184,18.8909,0.0166,16892216,19.0647,0.0318,18.7010,0.0317,16892216
189.559998530,27.366546960,140841895600680478,436527104,52,0.0715,0.1401,55824.747604170,5,19,22.2507,0.1977,21.9226,0.2566,115000,21.9617,0.0929,21.6259,0.1837,115000,21.6442,0.0382,21.5076,0.0840,115000,20.7151,0.1462,19.4357,0.1232,16892216,,,,,114720
189.566005860,27.364882150,140831895660528466,436527232,52,0.0112,0.0097,55979.676180560,5,85,21.2935,0.0400,21.4263,0.0659,115000,20.2009,0.0118,20.2770,0.0206,115000,19.7039,0.0166,19.8014,0.0268,115000,19.4662,0.0181,19.5722,0.0462,115000,19.3112,0.0317,19.4831,0.0754,115000
189.569745400,27.357725120,140821895698459897,444915712,53,0.0303,0.0501,56187.906122690,5,29,21.9516,0.1839,21.5872,0.1301,115000,21.7616,0.0387,21.2440,0.1123,16892216,21.3790,0.0583,21.0071,0.0840,115000,21.1765,0.1889,20.4414,0.2012,16892216,,,,,114720
189.572674040,27.366060620,140831895726959863,436527104,52,0.0137,0.0086,55955.874745370,5,50,20.8753,0.0302,21.0422,0.0476,115000,20.6826,0.0211,20.7745,0.0541,115000,20.6022,0.0320,20.6195,0.0737,115000,20.6729,0.0544,20.6860,0.1659,115000,20.0441,0.2082,19.8305,0.3212,115000
189.502212160,27.358440240,140831895021980792,444915712,53,0.0473,0.0549,56262.424594910,5,22,22.1972,0.1879,21.6433,0.2454,16892216,21.8572,0.0375,21.5977,0.0872,115000,21.4890,0.0958,21.1945,0.1227,16892216,21.0199,0.0576,20.7050,0.0938,16892216,,,,,114720
189.528833270,27.357674340,140821895290369791,444915712,53,0.0404,0.0660,55650.886365740,5,16,21.7733,0.1355,20.8461,0.1448,16892216,21.1064,0.1624,20.5144,0.0450,16892216,21.3984,0.1150,20.4042,0.0754,16892216,20.7679,0.0865,20.0377,0.3291,16892216,,,,,114720
189.510491670,27.364483290,140831895103617842,310534144,37,0.0857,0.0857,55836.901770830,0,4,22.0747,0.1700,21.2442,0.1730,16777496,22.0986,0.0098,,,16777496,21.5983,0.1695,,,280,,,,,0,,,,,0
189.532869590,27.361788900,140831895329204719,503635968,60,0.0041,0.0076,56076.507013890,5,92,14.4893,0.0034,14.5585,0.0031,115000,14.1396,0.0033,14.1801,0.0016,115000,14.0075,0.0008,14.0600,0.0019,115000,13.9782,0.0013,14.0417,0.0031,115000,13.9504,0.0038,14.0029,0.0048,115000
189.528804560,27.357565160,140821895288729456,310697984,37,0.0563,0.0787,56167.976759260,0,21,21.6336,0.0953,20.7141,0.0774,16777496,21.7331,0.0996,20.4357,0.0726,16777496,20.9888,0.1016,19.7859,0.0948,16777496,20.8289,0.1139,19.5709,0.0995,16777496,20.1309,0.1517,19.4574,0.2255,280
