RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g'mag,e_g'mag,r'mag,e_r'mag,i'mag,e_i'mag
10.624001,40.880145,0.759,0.551,20151872,10,46,0.743,0.132,15.128,0.086,15.871,0.100,15.423,0.045,14.895,0.077,14.781,0.060
10.452824,40.736871,0.331,0.305,20151766,11,55,1.102,0.079,12.981,0.053,14.083,0.059,13.503,0.055,12.637,0.067,12.322,0.052
10.431965,40.759455,0.336,0.549,20151766,11,70,0.738,0.071,13.338,0.041,14.075,0.058,13.671,0.056,13.108,0.047,12.932,0.039
10.449762,40.804917,0.824,0.853,20151766,10,41,1.019,0.091,15.570,0.065,16.589,0.064,16.080,0.083,15.187,0.065,14.863,0.087
10.470728,40.785955,0.692,0.528,20151766,10,48,0.828,0.100,15.031,0.061,15.859,0.080,15.410,0.054,14.747,0.070,14.437,0.060
10.500666,40.798811,0.353,0.326,20151767,10,50,0.435,0.081,14.214,0.052,14.648,0.063,14.382,0.056,14.122,0.063,14.063,0.050
10.533084,40.825429,0.324,0.295,20151767,10,49,0.592,0.079,14.258,0.040,14.850,0.068,14.517,0.056,14.096,0.064,13.964,0.070
10.483047,40.838916,0.787,0.569,20151766,10,45,0.742,0.091,15.278,0.050,16.020,0.075,15.623,0.054,15.043,0.075,14.832,0.063
10.484019,40.828457,0.551,0.495,20151766,11,55,0.872,0.096,14.485,0.065,15.357,0.071,14.879,0.058,14.222,0.063,14.018,0.066
10.492328,40.824126,1.039,0.993,20151767,5,18,0.996,0.208,16.171,0.167,17.167,0.124,16.699,0.141,15.819,0.088,15.419,0.095
10.496914,40.817284,0.849,0.842,20151767,9,31,0.662,0.145,15.874,0.097,16.535,0.107,16.220,0.082,15.797,0.109,15.587,0.120
10.508380,40.848947,0.457,0.487,20151767,10,49,0.684,0.100,14.839,0.060,15.524,0.080,15.136,0.060,14.635,0.068,14.481,0.108
10.434384,40.791495,0.691,0.545,20151766,11,50,0.793,0.089,14.946,0.056,15.739,0.070,15.337,0.063,14.691,0.070,14.487,0.069
10.413042,40.848056,0.622,0.570,20151766,11,54,0.643,0.087,14.729,0.036,15.372,0.079,15.022,0.062,14.545,0.074,14.437,0.058
10.411261,40.854403,0.846,1.051,20151767,5,17,0.632,0.201,16.192,0.068,16.825,0.190,16.426,0.125,16.034,0.062,15.886,0.000
10.465061,40.827400,0.805,0.865,20151767,4,13,1.125,0.200,16.426,0.096,17.551,0.175,17.144,0.068,16.157,0.091,15.642,0.074
10.490182,40.874552,0.943,0.765,20151767,6,21,0.833,0.112,16.237,0.077,17.070,0.082,16.668,0.102,16.086,0.047,15.933,0.094
10.441140,40.867586,1.177,1.283,20121873,4,10,0.896,0.119,16.392,0.112,17.289,0.041,16.743,0.034,16.044,0.017,15.917,0.000
10.545941,40.818327,0.621,0.702,20151767,9,42,0.689,0.077,15.368,0.024,16.057,0.073,15.647,0.071,15.163,0.089,14.991,0.043
10.551561,40.840684,0.839,0.446,20151767,10,46,0.959,0.120,15.074,0.089,16.033,0.081,15.544,0.051,14.730,0.073,14.463,0.054
10.563222,40.860247,0.268,0.223,20151872,11,51,0.690,0.081,13.331,0.054,14.021,0.060,13.639,0.058,13.143,0.070,12.989,0.034
10.541944,40.882510,1.168,0.885,20151872,6,12,0.754,0.096,16.213,0.011,16.967,0.096,16.508,0.042,15.966,0.026,16.006,0.000
10.599219,40.889033,1.045,1.079,20151767,6,26,1.048,0.305,16.404,0.246,17.451,0.179,16.671,0.049,15.938,0.085,15.630,0.075
10.552158,40.910462,0.482,0.434,20151872,11,60,0.451,0.071,14.311,0.046,14.762,0.054,14.480,0.056,14.182,0.057,14.116,0.041
10.591030,40.947921,0.426,0.364,20151872,12,61,0.546,0.080,13.813,0.049,14.359,0.063,14.043,0.052,13.667,0.065,13.535,0.068
10.520751,40.894286,0.922,0.766,20121873,5,13,1.128,0.153,15.921,0.102,17.049,0.114,16.410,0.006,15.768,0.042,15.140,0.000
10.537126,40.925807,0.367,0.351,20151872,11,60,0.795,0.075,13.746,0.053,14.541,0.054,14.105,0.062,13.512,0.072,13.307,0.051
